code,name,added_date,type,entry_price,target_price,stop_loss,risk_pct,risk_ratio,reason,score,status,source,expires_date,notes,top20_date
601166,兴业银行,2026-04-21,超跌反弹,18.42,22.1,16.95,20.0,2.5,(超跌反弹)PE5低估值 PB0.5低估,55,有效,auto_scan,2026-05-21,ROE=0.0% PE=5 PB=0.5,2026-04-21
601668,中国建筑,2026-04-21,超跌反弹,4.85,5.82,4.46,20.0,2.5,(超跌反弹)PE5低估值 PB0.4低估,55,有效,auto_scan,2026-05-21,ROE=0.0% PE=5 PB=0.4,2026-04-21
601229,上海银行,2026-04-21,超跌反弹,9.78,11.74,9.0,20.0,2.5,(超跌反弹)PE6低估值 PB0.6低估,55,有效,auto_scan,2026-05-21,ROE=0.0% PE=6 PB=0.6,2026-04-21
000100,TCL科技,2026-04-21,超跌反弹,4.34,5.21,3.99,20.0,2.5,(超跌反弹)PB1.5低估,51,有效,auto_scan,2026-05-21,ROE=0.0% PE=20 PB=1.5,2026-04-21
601328,交通银行,2026-04-21,超跌反弹,7.02,8.42,6.46,20.0,2.5,(超跌反弹)PE6低估值 PB0.5低估,51,有效,auto_scan,2026-05-21,ROE=0.0% PE=6 PB=0.5,2026-04-21
